stid,station_name,lat,lon,elev,begints,endts,iem_network
LOWG,Graz,46.9911,15.4396,347.0,1934-02-01,2025-02-21,AT__ASOS
LOWI,Innsbruck,47.2602,11.344,581.0,1931-01-04,2025-02-21,AT__ASOS
LOWK,Klagenfurt,46.65,14.3167,441.0,1931-01-07,2025-02-21,AT__ASOS
LOWL,Linz,48.2332,14.1875,313.0,1934-10-01,2025-02-21,AT__ASOS
LOWS,Salzburg,47.8,13.0,450.0,1938-06-01,2025-02-21,AT__ASOS
LOXA,AIGEN/ENNSTAL (MIL),47.5325,14.1381,649.0,1938-01-03,2025-02-21,AT__ASOS
LOXZ,Zeltweg,47.2028,14.7442,682.0,1938-06-01,2025-02-21,AT__ASOS
LFKB,Bastia,42.5406,9.4853,12.0,1945-05-18,2025-02-21,FR__ASOS
LFKC,Calvi,42.5228,8.7911,58.0,1972-12-31,2025-02-21,FR__ASOS
LFLB,Chambery,45.6367,5.8831,239.0,1973-01-01,2025-02-21,FR__ASOS
LFLL,Lyon,45.7264,5.0778,240.0,1931-01-03,2025-02-21,FR__ASOS
LFLS,Grenoble,45.3629,5.3294,386.0,1972-12-31,2025-02-21,FR__ASOS
LFMC,Le Luc,43.3831,6.3864,78.0,1976-03-09,2025-02-21,FR__ASOS
LFML,Marseille,43.4417,5.2267,36.0,1931-01-01,2025-02-21,FR__ASOS
LFMN,Nice,43.6489,7.2089,10.0,1945-09-30,2025-02-21,FR__ASOS
LFMY,Salon,43.6033,5.1083,60.0,1973-02-02,2025-02-21,FR__ASOS
LFSB,Mulhouse,47.6142,7.5103,271.0,1972-12-31,2025-02-21,FR__ASOS
LFSD,Dijon,47.2778,5.0883,227.0,1931-01-01,2025-02-21,FR__ASOS
LFSL,Brive,48.78,5.48,298.0,1952-03-19,2025-02-21,FR__ASOS
LFSN,Nancy,48.6878,6.2217,217.0,1928-01-01,2025-02-21,FR__ASOS
LFSO,Nancy,48.5811,5.9597,350.0,1973-01-01,2025-02-21,FR__ASOS
LFST,Strasbourg,48.5494,7.6403,154.0,1931-01-01,2025-02-21,FR__ASOS
LFSX,Luxeuil,47.7869,6.3639,273.0,1941-03-01,2025-02-21,FR__ASOS
LFTH,Hyeres,43.0944,6.1464,4.0,1973-01-01,2025-02-21,FR__ASOS
EDDM,Munich,48.3583,11.8092,447.0,1929-08-01,2025-02-21,DE__ASOS
EDDS,Stuttgart,48.6892,9.2253,419.0,1939-09-02,2025-02-21,DE__ASOS
EDJA,Memmingen,47.9888,10.2395,633.0,1937-04-01,2025-02-21,DE__ASOS
EDMA,Augsburg,48.4261,10.9431,463.0,1937-11-01,2025-02-21,DE__ASOS
EDNY,Friedrichshafen,47.6713,9.5115,424.0,1929-08-01,2025-02-21,DE__ASOS
EDTL,Lahr,48.3692,7.8278,156.0,1972-12-31,2025-02-21,DE__ASOS
ETHA,ALTENSTADT,47.8364,10.8722,760.0,1932-11-22,2025-02-21,DE__ASOS
ETHL,Laupheim,48.2183,9.9097,549.0,1973-01-01,2025-02-21,DE__ASOS
ETSI,Ingolstadt,48.7157,11.534,370.0,1939-10-31,2025-02-21,DE__ASOS
ETSL,Lechfeld,48.1864,10.8506,562.0,1928-11-14,2025-02-21,DE__ASOS
ETSN,Neuburg,48.711,11.2115,387.0,1938-08-04,2025-02-21,DE__ASOS
LIBP,Pescara,42.4372,14.1872,11.0,1965-01-31,2025-02-21,IT__ASOS
LIBT,TERMOLI,42.0043,14.9965,44.0,1972-12-31,2025-02-21,IT__ASOS
LIMC,Milano,45.63,8.7231,211.0,1965-02-03,2025-02-21,IT__ASOS
LIME,Bergamo,45.6689,9.7003,237.0,1966-09-08,2025-02-21,IT__ASOS
LIMF,Torino,45.2025,7.6494,287.0,1964-08-10,2025-02-21,IT__ASOS
LIMG,Albenga,44.0458,8.1256,49.0,1973-01-01,2025-02-21,IT__ASOS
LIMH,PIAN ROSA (MTN TOP),45.9352,7.7072,3488.0,1965-01-28,2025-02-21,IT__ASOS
LIMJ,Genoa,44.4133,8.8375,3.0,1928-01-01,2025-02-21,IT__ASOS
LIMK,TORINO/BRIC CROCE,45.0333,7.7317,710.0,1972-12-31,2025-02-21,IT__ASOS
LIML,Milan,45.4614,9.2626,103.0,1931-01-04,2025-02-21,IT__ASOS
LIMN,Cameri,45.5296,8.6692,169.0,1966-09-22,2025-02-21,IT__ASOS
LIMS,Piacenza,44.9092,9.7278,138.0,1966-09-14,2025-02-21,IT__ASOS
LIMU,CAPE MELE,43.9572,8.1697,221.0,1965-04-30,2025-02-21,IT__ASOS
LIMV,GIOVI PASS,44.5522,8.9375,475.0,1972-12-31,2025-02-21,IT__ASOS
LIMY,MALANOTTE MOUNTAIN,44.25,7.8,1742.0,1973-06-07,2025-02-21,IT__ASOS
LIPA,Aviano,46.0286,12.6033,126.0,1966-06-30,2025-02-21,IT__ASOS
LIPB,Bolzano,46.4603,11.3264,241.0,1965-01-28,2025-02-21,IT__ASOS
LIPC,Cervia,44.2289,12.2919,10.0,1972-12-31,2025-02-21,IT__ASOS
LIPE,Bologna,44.5308,11.2969,42.0,1964-08-10,2025-02-21,IT__ASOS
LIPF,FERRARA (AUT),44.8156,11.6125,10.0,1973-01-01,2025-02-21,IT__ASOS
LIPH,Treviso,45.6484,12.1944,23.0,1966-09-01,2025-02-21,IT__ASOS
LIPI,Rivolto,45.9756,13.0492,53.0,1958-04-14,2025-02-21,IT__ASOS
LIPK,Forli,44.1956,12.0697,32.0,1972-12-31,2025-02-21,IT__ASOS
LIPL,Ghedi,45.4206,10.2814,92.0,1966-09-04,2025-02-21,IT__ASOS
LIPQ,Ronchi De Legionari,45.8275,13.4722,12.0,1972-12-31,2025-02-21,IT__ASOS
LIPR,Rimini,44.0244,12.6128,13.0,1945-04-07,2025-02-21,IT__ASOS
LIPS,Treviso,45.6839,12.1067,41.0,1966-09-04,2025-02-21,IT__ASOS
LIPU,Padova,45.3958,11.8479,14.0,1973-01-01,2025-02-21,IT__ASOS
LIPX,Villafranca,45.3875,10.8723,68.0,1945-05-17,2025-02-21,IT__ASOS
LIPY,Ancona,43.6167,13.3603,10.0,1945-04-14,2025-02-21,IT__ASOS
LIPZ,Venice,45.5053,12.3519,6.0,1961-03-01,2025-02-21,IT__ASOS
LIQB,Arezzo,43.4597,11.8456,246.83066,1978-09-14,2025-02-21,IT__ASOS
LIQN,RIETI,42.4267,12.85,389.0,1973-12-13,2025-02-21,IT__ASOS
LIQO,MOUNT ARGENTARIO,42.3869,11.1697,632.0,1972-12-31,2025-02-21,IT__ASOS
LIQW,Sarzana (SP),44.0872,9.985,10.0,1973-11-08,2025-02-21,IT__ASOS
LIRB,Vigna Di Valle,42.0803,12.2114,258.05386,1973-01-01,2025-02-21,IT__ASOS
LIRK,TERMINILLO MOUNTAIN,42.4667,12.9833,1875.0,1965-01-31,2025-02-21,IT__ASOS
LIRP,Pisa,43.6825,10.3956,2.0,1944-11-24,2025-02-21,IT__ASOS
LIRQ,Florence,43.8086,11.2028,38.0,1931-01-02,2025-02-21,IT__ASOS
