stid,station_name,lat,lon,elev,begints,endts,iem_network
EBAW,Antwerp,51.1894,4.4603,14,1940-06-04 00:00,,BE__ASOS
EBBE,Beauvechain,50.7586,4.7683,127,1972-12-31 00:00,,BE__ASOS
EBBL,Kleine Brogel,51.1683,5.47,64,1972-12-31 00:00,,BE__ASOS
EBBR,Brussels,50.8962,4.526,58,1930-03-02 00:00,,BE__ASOS
EBCI,Charleroi,50.4592,4.4538,192,1973-01-01 00:00,,BE__ASOS
EBCV,Chievres,50.5758,3.831,63,1972-12-31 00:00,,BE__ASOS
EBDT,SCHAFFEN,51.009,5.0698,54,1973-01-01 00:00,,BE__ASOS
EBFN,Koksijde,51.0903,2.6528,9,1949-01-01 00:00,,BE__ASOS
EBFS,Florennes,50.2433,4.6458,299,1949-01-01 00:00,,BE__ASOS
EBLB,ELSENBORN (MIL),50.4817,6.1819,570,1984-05-01 00:00,,BE__ASOS
EBLG,Liege,50.65,5.45,178,1949-01-01 00:00,,BE__ASOS
EBOS,Ostend,51.1989,2.8622,5,1936-01-03 00:00,,BE__ASOS
