stid,station_name,lat,lon,elev,begints,endts,iem_network
LKCV,Caslav,49.9419,15.3858,242,1996-12-31 00:00,,CZ__ASOS
LKKB,Praha,50.1214,14.5436,286,2004-05-09 00:00,,CZ__ASOS
LKKU,Kunovice,49.0294,17.4397,177,2004-05-09 00:00,,CZ__ASOS
LKKV,Karlovy Vary,50.202,12.9098,604,1939-01-01 00:00,,CZ__ASOS
LKLB,LIBEREC,50.7683,15.025,405,2004-05-09 00:00,2013-01-02 00:00,CZ__ASOS
LKLN,Line,49.6752,13.2746,362,1939-04-01 00:00,,CZ__ASOS
LKMT,Ostrava,49.6975,18.1208,256,1952-01-01 00:00,,CZ__ASOS
LKNA,Namest,49.1708,16.1206,472,1996-05-06 00:00,,CZ__ASOS
LKPD,Pardubice,50.0161,15.7406,226,1996-05-06 00:00,,CZ__ASOS
LKPJ,Prostejov,49.4478,17.1339,211.81053,2019-03-05 00:00,,CZ__ASOS
LKPO,Prerov,49.4242,17.4081,206,1996-05-06 00:00,2013-09-30 00:00,CZ__ASOS
LKPR,Prague,50.1008,14.2578,365,1929-08-02 00:00,,CZ__ASOS
LKTB,Brno,49.1531,16.6889,246,1939-03-20 00:00,,CZ__ASOS
LKVO,Vodochody,50.2166,14.3958,275.52057,2013-10-07 00:00,,CZ__ASOS
