stid,station_name,lat,lon,elev,begints,endts,iem_network
EDAC,Altenburg,50.9818,12.5064,195,1996-03-21 00:00,,DE__ASOS
EDAH,Heringsdorf,53.8787,14.1524,28,1995-03-15 00:00,,DE__ASOS
EDAR,PIRNA-PRATZSCHWI,50.9792,13.9167,400,2001-05-24 00:00,2018-09-27 00:00,DE__ASOS
EDBC,Cochstedt,51.8564,11.4203,181,2010-07-16 00:00,,DE__ASOS
EDDB,Berlin,52.3822,13.5325,48,1940-04-08 00:00,,DE__ASOS
EDDC,Dresden,51.1292,13.7561,226,1931-01-01 00:00,,DE__ASOS
EDDE,Erfurt,50.9847,10.9631,323,1931-01-01 00:00,,DE__ASOS
EDDF,Frankfurt,50.0464,8.5986,113,1928-01-01 00:00,,DE__ASOS
EDDG,Munster,52.1353,7.7,52,1988-10-27 00:00,,DE__ASOS
EDDH,Hamburg,53.635,9.99,16,1928-04-01 00:00,,DE__ASOS
EDDK,Cologne,50.8661,7.1586,99,1931-01-01 00:00,,DE__ASOS
EDDL,Duesseldorf,51.2975,6.7692,44,1931-01-02 00:00,,DE__ASOS
EDDM,Munich,48.3583,11.8092,447,1929-08-01 00:00,,DE__ASOS
EDDN,Nuernberg,49.503,11.055,312,1931-01-01 00:00,,DE__ASOS
EDDP,Leipzig,51.4361,12.2414,149,1929-03-11 00:00,,DE__ASOS
EDDR,Saarbruecken,49.2142,7.1083,320,1935-07-01 00:00,,DE__ASOS
EDDS,Stuttgart,48.6892,9.2253,419,1939-09-02 00:00,,DE__ASOS
EDDT,Berlin,52.5644,13.3088,37,1936-03-10 00:00,2020-11-09 00:00,DE__ASOS
EDDV,Hannover,52.4658,9.6797,54,1928-01-01 00:00,,DE__ASOS
EDDW,Bremen,53.0475,8.7867,5,1929-08-01 00:00,,DE__ASOS
EDFE,Egelsbach,49.9608,8.6415,118,2007-08-07 00:00,2017-04-03 00:00,DE__ASOS
EDFH,Hahn,49.9475,7.2647,498,1953-07-22 00:00,,DE__ASOS
EDFM,Mannheim,49.4727,8.5143,100,1947-07-29 00:00,,DE__ASOS
EDGS,Siegerland,50.7077,8.083,602,2002-02-21 00:00,,DE__ASOS
EDHI,Hamburg,53.5359,9.837,13,1988-10-28 00:00,,DE__ASOS
EDHK,Kiel,54.3795,10.1452,31,1995-08-26 00:00,,DE__ASOS
EDHL,Luebeck,53.8054,10.7192,16,1972-12-31 00:00,,DE__ASOS
EDJA,Memmingen,47.9888,10.2395,633,1937-04-01 00:00,,DE__ASOS
EDKA,Aachen,50.8242,6.187,191.06929,2018-01-12 00:00,2019-08-14 00:00,DE__ASOS
EDLN,Moenchengladbach,51.2303,6.5044,38,1996-07-15 00:00,,DE__ASOS
EDLP,Paderborn,51.6167,8.6167,213,1938-11-04 00:00,,DE__ASOS
EDLV,Weeze,51.6024,6.1422,32,2003-09-25 00:00,,DE__ASOS
EDLW,Dortmund,51.5183,7.6122,127,1931-01-01 00:00,,DE__ASOS
EDMA,Augsburg,48.4261,10.9431,463,1937-11-01 00:00,,DE__ASOS
EDMO,Oberpfaffenhofen,48.0814,11.2831,600,1992-08-31 00:00,,DE__ASOS
EDNY,Friedrichshafen,47.6713,9.5115,424,1929-08-01 00:00,,DE__ASOS
EDOP,Parchim,53.427,11.7834,51,1999-01-15 00:00,2019-03-31 00:00,DE__ASOS
EDQM,Hof,50.3133,11.8775,568,1931-01-01 00:00,,DE__ASOS
EDRZ,Zweibruecken,49.2095,7.4006,344,2003-01-26 00:00,2014-11-28 00:00,DE__ASOS
EDSB,Karlsruhe/Baden-Baden,48.7794,8.0805,124,1997-07-23 00:00,,DE__ASOS
EDTD,Donaueschingen,47.9733,8.5222,680,2001-07-21 00:00,2019-11-18 00:00,DE__ASOS
EDTL,Lahr,48.3692,7.8278,156,1972-12-31 00:00,,DE__ASOS
EDTY,Schwaebisch Hall,49.1183,9.784,397.60696,1936-01-02 00:00,,DE__ASOS
EDVE,Braunschweig,52.2931,10.4486,88,1931-01-02 00:00,,DE__ASOS
EDVK,Kassel,51.4084,9.3776,285,1988-12-23 00:00,,DE__ASOS
EDWE,Emden,53.3881,7.2287,-1.9888668,1998-12-31 00:00,,DE__ASOS
EDXW,Westerland,54.9132,8.3405,20,1989-03-18 00:00,,DE__ASOS
ETAD,Spangdahlem,49.9802,6.6992,365,1953-05-17 00:00,,DE__ASOS
