stid,station_name,lat,lon,elev,begints,endts,iem_network
EQYS,Sigonella,37.4,14.92,23,2022-04-12 00:00,,IT__ASOS
LIBA,Amendola,41.5381,15.7139,60,1944-01-31 00:00,,IT__ASOS
LIBC,Crotone,38.9967,17.0792,161,1957-06-30 00:00,,IT__ASOS
LIBD,Bari,41.1381,16.765,44,1943-12-07 00:00,,IT__ASOS
LIBE,Monte S. Angelo,41.7084,15.9476,834.11096,2003-08-01 00:00,2014-04-27 00:00,IT__ASOS
LIBF,Foggia,41.4329,15.535,80,1943-09-30 00:00,,IT__ASOS
LIBG,Grottaglie,40.5172,17.3997,69,1943-09-27 00:00,,IT__ASOS
LIBH,MARINA DI GINOSA,40.4244,16.8867,12,1967-03-17 00:00,,IT__ASOS
LIBN,Lecce,40.2383,18.1389,61,1943-12-31 00:00,,IT__ASOS
LIBP,Pescara,42.4372,14.1872,11,1965-01-31 00:00,,IT__ASOS
LIBQ,SCURO MOUNTAIN,39.3306,16.3964,1720,2001-07-21 00:00,,IT__ASOS
LIBR,Brindisi,40.6577,17.9514,10,1943-11-29 00:00,,IT__ASOS
LIBT,TERMOLI,42.0043,14.9965,44,1972-12-31 00:00,,IT__ASOS
LIBU,LATRONICO,40.0875,16.0136,896,2005-07-27 00:00,2016-02-12 00:00,IT__ASOS
LIBV,Gioia Del Colle,40.7661,16.9353,350,1944-02-29 00:00,,IT__ASOS
LIBY,SANTA MARIA DI LEUC,39.8114,18.3422,112,1965-01-31 00:00,,IT__ASOS
LICA,Lamezia,38.9083,16.2417,15,1977-10-31 00:00,,IT__ASOS
LICB,Comiso,36.9333,14.6,292.59103,1984-03-23 00:00,,IT__ASOS
LICC,Catania,37.4667,15.0639,17,1943-10-28 00:00,,IT__ASOS
LICD,Lampedusa,35.4981,12.6183,20,1966-01-04 00:00,,IT__ASOS
LICE,ENNA,37.5681,14.2797,965,1972-12-31 00:00,2014-01-20 00:00,IT__ASOS
LICF,MESSINA,38.2,15.55,51,1931-01-01 00:00,,IT__ASOS
LICG,Pantelleria,36.8139,11.9711,191,1943-06-20 00:00,,IT__ASOS
LICJ,Palermo,38.1819,13.0994,34,1964-08-10 00:00,,IT__ASOS
LICL,GELA,37.0764,14.225,33,1943-09-02 00:00,,IT__ASOS
