stid,station_name,lat,lon,elev,begints,endts,iem_network
EHAK,A12-CPP HELIPAD OIL PLATFORM,55.3992,3.8103,50,2009-02-09 00:00,,NL__ASOS
EHAM,Amsterdam,52.3154,4.7902,9,1932-05-03 00:00,,NL__ASOS
EHBK,Maastricht,50.9053,5.7619,116,1948-12-31 00:00,,NL__ASOS
EHDL,Deelen,52.0547,5.8722,52,1949-10-17 00:00,,NL__ASOS
EHDV,D15-FA-1 HELIPAD OIL PLATFORM,54.3256,2.9358,50,2008-08-26 00:00,,NL__ASOS
EHEH,Eindhoven,51.4497,5.3769,22,1948-12-31 00:00,,NL__ASOS
EHFD,F3 - NETHERLANDS,54.8539,4.6961,50,1994-02-28 00:00,,NL__ASOS
EHFS,Vlissingen,51.4413,3.5959,10,2004-05-09 00:00,,NL__ASOS
EHFZ,F16-A,54.1167,4.0122,50,2007-01-05 00:00,2020-08-31 00:00,NL__ASOS
EHGG,Groningen,53.1236,6.5847,4,1931-06-01 00:00,,NL__ASOS
EHGR,Gilze-rijen,51.565,4.9353,13,1949-01-01 00:00,,NL__ASOS
EHHW,Buitengaats,54.0367,6.0422,-30,2016-04-11 00:00,,NL__ASOS
EHJA,J6-A HELIPAD OIL PLATFORM,53.8242,2.9453,50,2009-02-09 00:00,,NL__ASOS
EHJR,K13-A,53.2178,3.2203,50,1996-07-31 00:00,,NL__ASOS
EHKD,De Kooy,52.9269,4.7811,14,1972-12-31 00:00,,NL__ASOS
EHKV,K14-FA-1C,53.2694,3.6278,50,2007-08-21 00:00,,NL__ASOS
EHLE,Lelystad,52.46,5.5271,-5.9855995,1994-08-31 00:00,,NL__ASOS
EHLW,Leeuwarden,53.2231,5.7517,2,1949-01-01 00:00,,NL__ASOS
EHMA,AWG-1,53.4917,5.9417,50,2007-01-05 00:00,,NL__ASOS
EHMG,L9-FF-1,53.6144,4.9603,50,2007-01-05 00:00,,NL__ASOS
EHPG,P11-B / DE RUYTER,52.3517,3.3347,50,2009-11-09 00:00,,NL__ASOS
EHQE,HOORN-A HELIPAD OIL PLATFORM,52.9181,4.1503,50,2008-11-18 00:00,2022-11-29 00:00,NL__ASOS
EHQN,Hollandse Kust Noord,52.7575,4.6372,40,,,NL__ASOS
EHQS,Hollandse Kust Noord West,52.75,4.63,43,,,NL__ASOS
EHQW,Hollandse Kust Noord West,52.751,4.631,40,,,NL__ASOS
EHRD,Rotterdam,51.9537,4.4441,-5,1957-01-01 00:00,,NL__ASOS
EHSA,EURO PLATFORM,51.9978,3.275,50,1996-07-31 00:00,,NL__ASOS
EHSC,LE GOEREE,51.9258,3.67,50,1948-12-31 00:00,,NL__ASOS
EHSG,Borssela Alpha,51.426,3.7109,43,,,NL__ASOS
EHVK,Volkel,51.6583,5.7067,21,1951-06-01 00:00,,NL__ASOS
EHVL,VLIELAND ISLAND,53.24,4.921,5,1973-01-02 00:00,,NL__ASOS
EHWO,Woensdrecht,51.4479,4.3423,17,1949-01-03 00:00,,NL__ASOS
