stid,station_name,lat,lon,elev,begints,endts,iem_network
LSGC,Les Eplatures,47.0838,6.7928,1027,2001-07-21 00:00,,CH__ASOS
LSGG,Geneva,46.2475,6.1278,416,1935-01-01 00:00,,CH__ASOS
LSGS,Sion,46.2186,7.3303,481,1954-12-31 00:00,,CH__ASOS
LSMA,Alpnach,46.9431,8.2858,444,1977-12-12 00:00,,CH__ASOS
LSMC,Ulrichen,46.5048,8.3081,1344.9711,2017-01-15 00:00,,CH__ASOS
LSMD,Dubendorf,47.4,8.65,448,2004-09-03 00:00,,CH__ASOS
LSME,Emmen,47.0924,8.3051,427,2005-07-27 00:00,,CH__ASOS
LSMK,Unknown,47.2326,8.6352,570.20917,2017-01-18 00:00,,CH__ASOS
LSMM,Meiringen,46.7433,8.11,577,2005-07-27 00:00,,CH__ASOS
LSMP,Payerne,46.8116,6.9424,491,2009-02-10 00:00,,CH__ASOS
LSMS,Sion,46.2167,7.3167,481,2006-07-10 00:00,2019-03-27 00:00,CH__ASOS
LSMV,Unknown,47.307,8.6352,690.85944,2016-01-22 00:00,,CH__ASOS
LSZA,Lugano,46.0015,8.9092,276,1935-01-01 00:00,,CH__ASOS
LSZB,Bern,46.9141,7.4972,505,1990-04-24 00:00,,CH__ASOS
LSZC,Buochs,46.97,8.38,450,2008-09-16 00:00,,CH__ASOS
LSZG,Grenchen,47.1791,7.4151,430,2001-07-21 00:00,,CH__ASOS
LSZH,Zurich,47.4784,8.5302,432,1954-12-31 00:00,,CH__ASOS
LSZL,Locarno,46.1608,8.8786,600,1954-12-31 00:00,,CH__ASOS
LSZR,Altenrhein,47.485,9.5608,398,2001-07-21 00:00,,CH__ASOS
LSZS,Samedan,46.5264,9.8789,1706,2007-03-01 00:00,,CH__ASOS
